	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
AQP1	1.23674978611917	1.27686719371271	1.17389583803759	2.46095186556061	1.10794421742498	1.23939235694	1.6748943322966	1.06902464858752	1.17242013769178
AQP2	1.11812161826927	1.1350919612491	1.17245920650693	1.06207470634107	1.09922495246059	1.12591562794795	1.09195191528993	1.11613984427436	1.1611390734509
AQP3	2.58515833756316	4.25914936093137	1.92399023819874	5.30999103130056	1.29537657208438	2.21109537011917	4.33886359482942	1.34041372988543	2.65473314089177
AQP4	0.917998793221792	0.881856296353168	0.8558781889167	0.966884704719036	0.900024806762859	0.859873139707332	0.853927633868042	0.898342965488237	0.865277760434648
AQP5	1.02193962071134	1.09934281244107	1.12140294731298	1.11229912135631	1.091697140223	1.08489065329648	1.06982008497786	1.04480744335809	1.08741958628738
AQP6	1.26764265802648	1.28646338457727	1.28815744219854	1.26250629189674	1.24469668917229	1.19929110950492	1.19798247860259	1.21007076503562	1.16662411046258
AQP8	1.09966136370094	1.00837522029523	1.11282785708824	1.02633761439333	1.01759832741978	1.0113288326111	1.05534792096973	1.05058003105483	1.04792365607168
AQP9	1.02130571806389	1.05210865166839	1.05040798206463	1.06397300854766	1.0309972292573	1.01370822821909	1.00972604529441	0.993619105943178	0.994924183378207
AQR	2.50720608554254	2.2308373711786	2.28338050557328	2.22287641650245	2.19294386816627	2.20143416778599	2.13487420025133	1.62519525027878	2.17250906474795
AR	1.03268011400989	1.01791891194168	1.11653216538021	1.06833029681738	1.00935949999842	0.943604757655862	1.01433883862461	1.03423548805653	1.01646135064479
ARAF	1.42353278850263	1.30963290091212	1.30309199669495	1.26980999792068	1.38616305488613	1.34380798789923	1.41228201616515	1.29989534953412	1.27518793186126
ARAP1	1.1691138761514	1.09637309393805	1.10964917239446	1.14886591605043	1.15120794302169	1.1327407288441	1.08651374083898	1.07055469736672	1.0590286390369
ARAP3	1.01671560785693	1.04204769600635	1.02824016308233	1.04392869461974	1.02864819804286	1.04793350966722	1.00443250801534	1.02839042848075	0.999169604992366
ARC	0.946778656047084	0.988027735044378	1.03883714822161	1.02732487052153	0.985739491061429	0.992627028942238	0.956127382829573	0.925625820554843	0.984727638846919
ARCN1	2.51119418508125	2.27673110696358	2.40235180724652	2.29189282098285	2.23600602151656	2.43699916486897	2.12326060794324	1.87876637264539	2.32824294104173
